+0.30198000000000 +0.00730000000000
+0.25369000000000 +0.23518000000000
+0.18840000000000 +0.02108000000000
+0.06337000000000 +0.09796000000000
+0.05544000000000 +0.03975000000000
+0.05467000000000 +0.16321000000000
+0.12782000000000 +0.08420000000000
+0.01033000000000 +0.27507000000000
+0.12573000000000 +0.17502000000000
+0.19174000000000 +0.19235000000000
+0.10629000000000 +0.27391000000000
+0.21208000000000 +0.17041000000000
+0.30826000000000 +0.32491000000000
+0.17619000000000 +0.25186000000000
+0.03011000000000 +0.14034000000000
+0.06213000000000 +0.28479000000000
+0.23788000000000 +0.27338000000000
+0.02870000000000 +0.25957000000000
+0.23275000000000 +0.05924000000000
+0.14312000000000 +0.03668000000000
+0.17928000000000 +0.23570000000000
+0.09678000000000 +0.05970000000000
+0.17810000000000 +0.32283000000000
+0.03422000000000 +0.23705000000000
+0.09998000000000 +0.07089000000000
+0.24645000000000 +0.00592000000000
+0.08849000000000 +0.17090000000000
+0.13570000000000 +0.07644000000000
+0.19742000000000 +0.19741000000000
+0.00408000000000 +0.00057000000000
+0.28139000000000 +0.21754000000000
+0.07914000000000 +0.01891000000000
+0.06160000000000 +0.05504000000000
+0.26480000000000 +0.17118000000000
+0.25578000000000 +0.02544000000000
+0.02553000000000 +0.19331000000000
+0.15926000000000 +0.09149000000000
+0.21391000000000 +0.02491000000000
+0.15122000000000 +0.14160000000000
+0.04904000000000 +0.17575000000000
+0.05601000000000 +0.01470000000000
+0.08027000000000 +0.06291000000000
+0.00512000000000 +0.05158000000000
+0.16161000000000 +0.14759000000000
+0.28788000000000 +0.16952000000000
+0.26102000000000 +0.17541000000000
+0.06855000000000 +0.09763000000000
+0.14696000000000 +0.08114000000000
+0.19719000000000 +0.04887000000000
+0.07317000000000 +0.13326000000000
+0.16778000000000 +0.16453000000000
+0.15442000000000 +0.31986000000000
+0.12172000000000 +0.08302000000000
+0.05272000000000 +0.03484000000000
+0.19313000000000 +0.24621000000000
+0.32116000000000 +0.31392000000000
+0.07227000000000 +0.32301000000000
+0.23276000000000 +0.25795000000000
+0.06364000000000 +0.23334000000000
+0.29505000000000 +0.03862000000000
+0.17105000000000 +0.32104000000000
+0.09865000000000 +0.22620000000000
+0.31892000000000 +0.22423000000000
+0.16797000000000 +0.19297000000000
+0.10949000000000 +0.07364000000000
+0.14416000000000 +0.17334000000000
+0.12265000000000 +0.01026000000000
+0.02887000000000 +0.23030000000000
+0.04219000000000 +0.00426000000000
+0.07212000000000 +0.10795000000000
+0.28980000000000 +0.00009000000000
+0.22618000000000 +0.27390000000000
+0.12323000000000 +0.32192000000000
+0.31303000000000 +0.29180000000000
+0.31118000000000 +0.03827000000000
+0.29891000000000 +0.22432000000000
+0.29570000000000 +0.26550000000000
+0.19211000000000 +0.24833000000000
+0.14431000000000 +0.25966000000000
+0.30110000000000 +0.15935000000000
+0.30353000000000 +0.08893000000000
+0.12669000000000 +0.07820000000000
+0.12743000000000 +0.11089000000000
+0.06710000000000 +0.26524000000000
+0.00714000000000 +0.24463000000000
